# layer,row,col,filter,float_value,q1.6_int,q1.6_hex
layer_0_filter_0,0,0,0,0.014565,1,0x01
layer_0_filter_0,0,1,0,0.019219,1,0x01
layer_0_filter_0,0,2,0,0.023873,2,0x02
layer_0_filter_0,0,3,0,0.028526,2,0x02
layer_0_filter_0,0,4,0,0.033180,2,0x02
layer_0_filter_0,0,5,0,0.037834,2,0x02
layer_0_filter_0,0,6,0,0.042488,3,0x03
layer_0_filter_0,0,7,0,0.047142,3,0x03
layer_0_filter_0,0,8,0,0.051796,3,0x03
layer_0_filter_0,0,9,0,0.056450,4,0x04
layer_0_filter_0,0,10,0,0.061104,4,0x04
layer_0_filter_0,0,11,0,0.065758,4,0x04
layer_0_filter_0,0,12,0,0.070412,5,0x05
layer_0_filter_0,0,13,0,0.075066,5,0x05
layer_0_filter_0,0,14,0,0.079719,5,0x05
layer_0_filter_0,0,15,0,0.084373,5,0x05
layer_0_filter_0,0,16,0,0.089027,6,0x06
layer_0_filter_0,0,17,0,0.093681,6,0x06
layer_0_filter_0,0,18,0,0.098335,6,0x06
layer_0_filter_0,0,19,0,0.102989,7,0x07
layer_0_filter_0,0,20,0,0.107643,7,0x07
layer_0_filter_0,0,21,0,0.112297,7,0x07
layer_0_filter_0,0,22,0,0.116951,7,0x07
layer_0_filter_0,0,23,0,0.121605,8,0x08
layer_0_filter_0,0,24,0,0.126259,8,0x08
layer_0_filter_0,0,25,0,0.130912,8,0x08
layer_0_filter_0,1,0,0,0.019219,1,0x01
layer_0_filter_0,1,1,0,0.023873,2,0x02
layer_0_filter_0,1,2,0,0.028526,2,0x02
layer_0_filter_0,1,3,0,0.033180,2,0x02
layer_0_filter_0,1,4,0,0.037834,2,0x02
layer_0_filter_0,1,5,0,0.042488,3,0x03
layer_0_filter_0,1,6,0,0.047142,3,0x03
layer_0_filter_0,1,7,0,0.051796,3,0x03
layer_0_filter_0,1,8,0,0.056450,4,0x04
layer_0_filter_0,1,9,0,0.061104,4,0x04
layer_0_filter_0,1,10,0,0.065758,4,0x04
layer_0_filter_0,1,11,0,0.070412,5,0x05
layer_0_filter_0,1,12,0,0.075066,5,0x05
layer_0_filter_0,1,13,0,0.079719,5,0x05
layer_0_filter_0,1,14,0,0.084373,5,0x05
layer_0_filter_0,1,15,0,0.089027,6,0x06
layer_0_filter_0,1,16,0,0.093681,6,0x06
layer_0_filter_0,1,17,0,0.098335,6,0x06
layer_0_filter_0,1,18,0,0.102989,7,0x07
layer_0_filter_0,1,19,0,0.107643,7,0x07
layer_0_filter_0,1,20,0,0.112297,7,0x07
layer_0_filter_0,1,21,0,0.116951,7,0x07
layer_0_filter_0,1,22,0,0.121605,8,0x08
layer_0_filter_0,1,23,0,0.126259,8,0x08
layer_0_filter_0,1,24,0,0.130912,8,0x08
layer_0_filter_0,1,25,0,0.135566,9,0x09
layer_0_filter_0,2,0,0,0.023873,2,0x02
layer_0_filter_0,2,1,0,0.028526,2,0x02
layer_0_filter_0,2,2,0,0.033180,2,0x02
layer_0_filter_0,2,3,0,0.037834,2,0x02
layer_0_filter_0,2,4,0,0.042488,3,0x03
layer_0_filter_0,2,5,0,0.047142,3,0x03
layer_0_filter_0,2,6,0,0.051796,3,0x03
layer_0_filter_0,2,7,0,0.056450,4,0x04
layer_0_filter_0,2,8,0,0.061104,4,0x04
layer_0_filter_0,2,9,0,0.065758,4,0x04
layer_0_filter_0,2,10,0,0.070412,5,0x05
layer_0_filter_0,2,11,0,0.075066,5,0x05
layer_0_filter_0,2,12,0,0.079719,5,0x05
layer_0_filter_0,2,13,0,0.084373,5,0x05
layer_0_filter_0,2,14,0,0.089027,6,0x06
layer_0_filter_0,2,15,0,0.093681,6,0x06
layer_0_filter_0,2,16,0,0.098335,6,0x06
layer_0_filter_0,2,17,0,0.102989,7,0x07
layer_0_filter_0,2,18,0,0.107643,7,0x07
layer_0_filter_0,2,19,0,0.112297,7,0x07
layer_0_filter_0,2,20,0,0.116951,7,0x07
layer_0_filter_0,2,21,0,0.121605,8,0x08
layer_0_filter_0,2,22,0,0.126259,8,0x08
layer_0_filter_0,2,23,0,0.130912,8,0x08
layer_0_filter_0,2,24,0,0.135566,9,0x09
layer_0_filter_0,2,25,0,0.140220,9,0x09
layer_0_filter_0,3,0,0,0.028526,2,0x02
layer_0_filter_0,3,1,0,0.033180,2,0x02
layer_0_filter_0,3,2,0,0.037834,2,0x02
layer_0_filter_0,3,3,0,0.042488,3,0x03
layer_0_filter_0,3,4,0,0.047142,3,0x03
layer_0_filter_0,3,5,0,0.051796,3,0x03
layer_0_filter_0,3,6,0,0.056450,4,0x04
layer_0_filter_0,3,7,0,0.061104,4,0x04
layer_0_filter_0,3,8,0,0.065758,4,0x04
layer_0_filter_0,3,9,0,0.070412,5,0x05
layer_0_filter_0,3,10,0,0.075066,5,0x05
layer_0_filter_0,3,11,0,0.079719,5,0x05
layer_0_filter_0,3,12,0,0.084373,5,0x05
layer_0_filter_0,3,13,0,0.089027,6,0x06
layer_0_filter_0,3,14,0,0.093681,6,0x06
layer_0_filter_0,3,15,0,0.098335,6,0x06
layer_0_filter_0,3,16,0,0.102989,7,0x07
layer_0_filter_0,3,17,0,0.107643,7,0x07
layer_0_filter_0,3,18,0,0.112297,7,0x07
layer_0_filter_0,3,19,0,0.116951,7,0x07
layer_0_filter_0,3,20,0,0.121605,8,0x08
layer_0_filter_0,3,21,0,0.126259,8,0x08
layer_0_filter_0,3,22,0,0.130912,8,0x08
layer_0_filter_0,3,23,0,0.135566,9,0x09
layer_0_filter_0,3,24,0,0.140220,9,0x09
layer_0_filter_0,3,25,0,0.144874,9,0x09
layer_0_filter_0,4,0,0,0.033180,2,0x02
layer_0_filter_0,4,1,0,0.037834,2,0x02
layer_0_filter_0,4,2,0,0.042488,3,0x03
layer_0_filter_0,4,3,0,0.047142,3,0x03
layer_0_filter_0,4,4,0,0.051796,3,0x03
layer_0_filter_0,4,5,0,0.056450,4,0x04
layer_0_filter_0,4,6,0,0.061104,4,0x04
layer_0_filter_0,4,7,0,0.065758,4,0x04
layer_0_filter_0,4,8,0,0.070412,5,0x05
layer_0_filter_0,4,9,0,0.075066,5,0x05
layer_0_filter_0,4,10,0,0.079719,5,0x05
layer_0_filter_0,4,11,0,0.084373,5,0x05
layer_0_filter_0,4,12,0,0.089027,6,0x06
layer_0_filter_0,4,13,0,0.093681,6,0x06
layer_0_filter_0,4,14,0,0.098335,6,0x06
layer_0_filter_0,4,15,0,0.102989,7,0x07
layer_0_filter_0,4,16,0,0.107643,7,0x07
layer_0_filter_0,4,17,0,0.112297,7,0x07
layer_0_filter_0,4,18,0,0.116951,7,0x07
layer_0_filter_0,4,19,0,0.121605,8,0x08
layer_0_filter_0,4,20,0,0.126259,8,0x08
layer_0_filter_0,4,21,0,0.130912,8,0x08
layer_0_filter_0,4,22,0,0.135566,9,0x09
layer_0_filter_0,4,23,0,0.140220,9,0x09
layer_0_filter_0,4,24,0,0.144874,9,0x09
layer_0_filter_0,4,25,0,0.149528,10,0x0A
layer_0_filter_0,5,0,0,0.037834,2,0x02
layer_0_filter_0,5,1,0,0.042488,3,0x03
layer_0_filter_0,5,2,0,0.047142,3,0x03
layer_0_filter_0,5,3,0,0.051796,3,0x03
layer_0_filter_0,5,4,0,0.056450,4,0x04
layer_0_filter_0,5,5,0,0.061104,4,0x04
layer_0_filter_0,5,6,0,0.065758,4,0x04
layer_0_filter_0,5,7,0,0.070412,5,0x05
layer_0_filter_0,5,8,0,0.075066,5,0x05
layer_0_filter_0,5,9,0,0.079719,5,0x05
layer_0_filter_0,5,10,0,0.084373,5,0x05
layer_0_filter_0,5,11,0,0.089027,6,0x06
layer_0_filter_0,5,12,0,0.093681,6,0x06
layer_0_filter_0,5,13,0,0.098335,6,0x06
layer_0_filter_0,5,14,0,0.102989,7,0x07
layer_0_filter_0,5,15,0,0.107643,7,0x07
layer_0_filter_0,5,16,0,0.112297,7,0x07
layer_0_filter_0,5,17,0,0.116951,7,0x07
layer_0_filter_0,5,18,0,0.121605,8,0x08
layer_0_filter_0,5,19,0,0.126259,8,0x08
layer_0_filter_0,5,20,0,0.130912,8,0x08
layer_0_filter_0,5,21,0,0.135566,9,0x09
layer_0_filter_0,5,22,0,0.140220,9,0x09
