i,py_qint,vhdl_final_guess,diff
0,0,0,0
1,0,127,-127
2,0,0,0
3,0,0,0
4,0,0,0
5,0,127,-127
6,100,0,100
7,0,0,0
8,0,0,0
9,0,0,0
10,0,5,-5
11,0,127,-127
12,0,0,0
13,0,0,0
14,19,127,-108
15,0,12,-12
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,14,-14
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,10,0,10
29,0,0,0
30,0,0,0
31,0,0,0
32,84,127,-43
33,0,0,0
34,0,0,0
35,0,69,-69
36,0,0,0
37,0,11,-11
38,0,0,0
39,0,0,0
40,15,127,-112
41,21,0,21
42,0,10,-10
43,0,0,0
44,0,0,0
45,0,0,0
46,0,0,0
47,0,91,-91
48,0,127,-127
49,0,102,-102
50,0,127,-127
51,0,0,0
52,0,0,0
53,0,127,-127
54,0,0,0
55,0,0,0
56,0,127,-127
57,0,33,-33
58,0,0,0
59,0,127,-127
60,0,127,-127
61,0,127,-127
62,0,0,0
63,0,123,-123
