neuron,acc,final_int,q1_6,python_ref_q1_6,diff
0,-8227,-130,0,0,0
1,-8179,-129,0,0,0
2,-5619,-89,0,0,0
3,-11529,-181,0,0,0
4,-6317,-100,0,0,0
5,-3702,-59,0,0,0
6,6236,97,97,100,-3
7,-5142,-81,0,0,0
8,-5808,-92,0,0,0
9,-2399,-38,0,0,0
10,-8522,-134,0,0,0
11,-2990,-48,0,0,0
12,-9388,-148,0,0,0
13,-2041,-33,0,0,0
14,1077,17,17,19,-2
15,-6063,-96,0,0,0
16,-6888,-109,0,0,0
17,-11833,-186,0,0,0
18,-6734,-106,0,0,0
19,-9520,-150,0,0,0
20,-9435,-148,0,0,0
21,-14142,-222,0,0,0
22,-8818,-139,0,0,0
23,-8508,-134,0,0,0
24,-14961,-235,0,0,0
25,-10903,-171,0,0,0
26,-9908,-156,0,0,0
27,-12049,-189,0,0,0
28,-334,-6,0,10,-10
29,-3094,-49,0,0,0
30,-616,-11,0,0,0
31,-921,-15,0,0,0
32,5355,84,84,84,0
33,-12882,-202,0,0,0
34,-2429,-39,0,0,0
35,-4604,-73,0,0,0
36,-3276,-52,0,0,0
37,-158,-3,0,0,0
38,-7795,-123,0,0,0
39,-4224,-67,0,0,0
40,1029,16,16,15,1
41,1090,17,17,21,-4
42,-7022,-111,0,0,0
43,-5935,-94,0,0,0
44,-12588,-198,0,0,0
45,-3320,-53,0,0,0
46,-9696,-152,0,0,0
47,-3699,-59,0,0,0
48,-7666,-121,0,0,0
49,-16916,-265,0,0,0
50,-12493,-196,0,0,0
51,-2028,-33,0,0,0
52,-9406,-148,0,0,0
53,-7393,-117,0,0,0
54,-6287,-99,0,0,0
55,-6864,-108,0,0,0
56,-5825,-92,0,0,0
57,-15559,-244,0,0,0
58,-13567,-213,0,0,0
59,-5464,-86,0,0,0
60,-16853,-264,0,0,0
61,-14888,-234,0,0,0
62,-7849,-124,0,0,0
63,-12470,-196,0,0,0
